Date,Fed Rate (%),CPI,Unemployment Rate (%)
2025-01-01,4.33,319.086,4.0
2024-12-01,4.48,317.603,4.1
2024-11-01,4.64,316.449,4.2
2024-10-01,4.83,315.564,4.1
2024-09-01,5.13,314.851,4.1
2024-08-01,5.33,314.131,4.2
2024-07-01,5.33,313.566,4.2
2024-06-01,5.33,313.131,4.1
2024-05-01,5.33,313.14,4.0
2024-04-01,5.33,313.016,3.9
2024-03-01,5.33,312.107,3.9
2024-02-01,5.33,311.022,3.9
2024-01-01,5.33,309.794,3.7
2023-12-01,5.33,308.735,3.8
2023-11-01,5.33,308.087,3.7
2023-10-01,5.33,307.653,3.9
2023-09-01,5.33,307.374,3.8
2023-08-01,5.33,306.138,3.7
2023-07-01,5.12,304.615,3.5
2023-06-01,5.08,304.099,3.6
2023-05-01,5.06,303.316,3.6
2023-04-01,4.83,302.858,3.4
2023-03-01,4.65,301.643,3.5
2023-02-01,4.57,301.476,3.6
2023-01-01,4.33,300.456,3.5
2022-12-01,4.1,298.808,3.5
2022-11-01,3.78,298.708,3.6
2022-10-01,3.08,297.979,3.6
2022-09-01,2.56,296.421,3.5
2022-08-01,2.33,295.162,3.6
2022-07-01,1.68,294.94,3.5
2022-06-01,1.21,295.072,3.6
2022-05-01,0.77,291.299,3.6
2022-04-01,0.33,288.582,3.7
2022-03-01,0.2,287.467,3.7
2022-02-01,0.08,284.525,3.8
2022-01-01,0.08,282.542,4.0
2021-12-01,0.08,280.806,3.9
2021-11-01,0.08,278.824,4.2
2021-10-01,0.08,276.528,4.5
2021-09-01,0.08,273.942,4.7
2021-08-01,0.09,272.752,5.1
2021-07-01,0.1,271.965,5.4
2021-06-01,0.08,270.71,5.9
2021-05-01,0.06,268.404,5.8
2021-04-01,0.07,266.625,6.1
2021-03-01,0.07,264.847,6.1
2021-02-01,0.08,263.573,6.2
2021-01-01,0.09,262.639,6.4
2020-12-01,0.09,262.045,6.7
2020-11-01,0.09,260.911,6.7
2020-10-01,0.09,260.319,6.9
2020-09-01,0.09,259.997,7.8
2020-08-01,0.1,259.316,8.4
2020-07-01,0.09,258.352,10.2
2020-06-01,0.08,257.042,11.0
2020-05-01,0.05,255.802,13.2
2020-04-01,0.05,256.032,14.8
2020-03-01,0.65,258.076,4.4
2020-02-01,1.58,259.25,3.5
2020-01-01,1.55,259.127,3.6
